x,y,z,rho,p,is_boundary,kind
0.184595,0.309403,0.28236,53563.6,3.15982e+06,0,0
0.184222,0.310167,0.291663,60675,3.5865e+06,0,0
0.295598,0.396864,0.298661,1153.17,15190.4,0,0
0.184253,0.309801,0.315239,76375.7,4.52854e+06,0,0
0.183576,0.311186,0.328119,82549.7,4.89898e+06,0,0
0.180742,0.309842,0.339857,85911.6,5.1007e+06,0,0
0.182474,0.31091,0.351233,87099.6,5.17198e+06,0,0
0.182275,0.310777,0.359655,86268.9,5.12213e+06,0,0
0.182685,0.310879,0.369447,83996.1,4.98577e+06,0,0
0.18359,0.309374,0.385029,77112.5,4.57275e+06,0,0
0.185015,0.308641,0.396448,70129.2,4.15375e+06,0,0
0.184657,0.309571,0.417527,54787,3.23322e+06,0,0
0.184623,0.309581,0.417463,54838.2,3.23629e+06,0,0
0.184791,0.309553,0.2808,52349.6,3.08697e+06,0,0
0.184576,0.309506,0.28178,53115.5,3.13293e+06,0,0
0.184806,0.30907,0.306637,71133.2,4.21399e+06,0,0
0.184571,0.309367,0.310534,73600.2,4.36201e+06,0,0
0.183372,0.310799,0.324046,80846.4,4.79678e+06,0,0
0.182302,0.310812,0.343943,86667.1,5.14603e+06,0,0
0.18237,0.310856,0.349816,87089.5,5.17137e+06,0,0
0.180771,0.309859,0.364405,85333.3,5.066e+06,0,0
0.183687,0.310918,0.373879,82402.4,4.89014e+06,0,0
0.184431,0.309712,0.381584,78919.2,4.68115e+06,0,0
0.183624,0.309881,0.400815,67221,3.97926e+06,0,0
0.185134,0.30869,0.414562,57067.8,3.37007e+06,0,0
0.18476,0.309589,0.419338,53393.3,3.1496e+06,0,0
0.18474,0.309546,0.282101,53343.3,3.1466e+06,0,0
0.184704,0.309504,0.284631,55321.9,3.26531e+06,0,0
0.184809,0.309034,0.300352,66912.1,3.96072e+06,0,0
0.204799,0.33182,0.315052,63141.9,3.73451e+06,0,0
0.183013,0.311009,0.330414,83404.8,4.95028e+06,0,0
0.182845,0.311129,0.342344,86455.4,5.13332e+06,0,0
0.182644,0.311047,0.349505,87088,5.17128e+06,0,0
0.18064,0.309843,0.358798,86409.4,5.13057e+06,0,0
0.182649,0.310945,0.368668,84243.7,5.00062e+06,0,0
0.184602,0.30904,0.388795,74949.4,4.44297e+06,0,0
0.184121,0.310283,0.404227,64808.6,3.83451e+06,0,0
0.184833,0.309174,0.413057,58242.3,3.44054e+06,0,0
