x,y,z,rho,p,is_boundary,kind
0.183514,0.309176,0.281131,53229.2,3.13975e+06,0,0
0.18255,0.310127,0.291875,61463.3,3.6338e+06,0,0
0.196029,0.326327,0.29321,57545.4,3.39873e+06,0,0
0.183479,0.308152,0.315193,76919.8,4.56119e+06,0,0
0.182655,0.309814,0.328168,83081.6,4.93089e+06,0,0
0.183667,0.311512,0.339791,86385.3,5.12912e+06,0,0
0.18372,0.311568,0.351235,87304.3,5.18426e+06,0,0
0.183699,0.311548,0.359647,86452.2,5.13313e+06,0,0
0.183846,0.31091,0.369239,83975.4,4.98452e+06,0,0
0.184335,0.308634,0.384771,76877.6,4.55866e+06,0,0
0.182093,0.309563,0.396199,69805.3,4.13432e+06,0,0
0.183657,0.309268,0.415289,55921.6,3.30129e+06,0,0
0.183648,0.30925,0.414954,56180.1,3.31681e+06,0,0
0.183535,0.309249,0.283443,55029.2,3.24775e+06,0,0
0.183502,0.309157,0.282629,54387,3.20922e+06,0,0
0.18277,0.309267,0.306654,71734.5,4.25007e+06,0,0
0.183554,0.307878,0.310372,74090.6,4.39144e+06,0,0
0.183453,0.309527,0.323873,81333.7,4.82602e+06,0,0
0.1837,0.311535,0.343888,86988.7,5.16532e+06,0,0
0.183695,0.311601,0.349654,87318.2,5.18509e+06,0,0
0.183684,0.311483,0.364503,85385.8,5.06915e+06,0,0
0.182188,0.308971,0.373771,82205.4,4.87833e+06,0,0
0.183514,0.308286,0.381184,78782.2,4.67293e+06,0,0
0.182811,0.310512,0.400704,66745.2,3.95071e+06,0,0
0.183929,0.308076,0.414023,56865,3.3579e+06,0,0
0.18369,0.309341,0.416896,54667.8,3.22607e+06,0,0
0.183372,0.30908,0.282843,54553.1,3.21919e+06,0,0
0.183429,0.308972,0.285685,56764.9,3.35189e+06,0,0
0.183838,0.307678,0.300329,67509.5,3.99657e+06,0,0
0.197698,0.320223,0.313606,71910.4,4.26062e+06,0,0
0.183622,0.310627,0.330485,83945.9,4.98275e+06,0,0
0.183631,0.311484,0.342457,86813.4,5.1548e+06,0,0
0.183727,0.311601,0.349252,87315.1,5.18491e+06,0,0
0.183685,0.311535,0.35862,86625.3,5.14352e+06,0,0
0.183761,0.311136,0.368433,84238.1,5.00029e+06,0,0
0.183116,0.309467,0.388559,74633,4.42398e+06,0,0
0.182205,0.310223,0.404108,64297.3,3.80384e+06,0,0
0.183748,0.308697,0.4124,58134.4,3.43406e+06,0,0
0.183629,0.309413,0.418106,53733.8,3.17003e+06,0,0
0.183466,0.309134,0.283658,55192.4,3.25755e+06,0,0
0.182869,0.309625,0.288841,59186.8,3.49721e+06,0,0
0.18379,0.307816,0.297902,65812.9,3.89477e+06,0,0
0.18181,0.308714,0.310773,74239.5,4.40037e+06,0,0
0.183405,0.308821,0.322684,80773.2,4.79239e+06,0,0
0.183693,0.311516,0.340513,86513.6,5.13682e+06,0,0
0.183684,0.311552,0.346465,87212,5.17872e+06,0,0
0.412161,0.295697,0.366783,933.75,2024.97,0,0
0.183571,0.310313,0.372117,82934.5,4.92207e+06,0,0
0.18378,0.308523,0.38378,77420.9,4.59125e+06,0,0
0.183385,0.309746,0.392765,72100.2,4.27201e+06,0,0
0.183512,0.309243,0.41733,54322.7,3.20536e+06,0,0
0.181569,0.308213,0.417844,53826.8,3.17561e+06,0,0
0.183256,0.30905,0.283502,55065.8,3.24995e+06,0,0
0.182599,0.309866,0.29009,60126.2,3.55357e+06,0,0
0.184041,0.307817,0.308366,72849.3,4.31696e+06,0,0
0.183537,0.307952,0.311692,74890.4,4.43942e+06,0,0
0.184117,0.309822,0.325236,81935.5,4.86213e+06,0,0
0.183687,0.311416,0.336266,85630.5,5.08383e+06,0,0
0.183703,0.311596,0.354599,87116.5,5.17299e+06,0,0
0.183749,0.311499,0.360043,86382.9,5.12897e+06,0,0
0.18412,0.310052,0.375867,81383.3,4.829e+06,0,0
0.183385,0.307734,0.388329,74768.5,4.43211e+06,0,0
0.18241,0.309936,0.403008,65097.9,3.85187e+06,0,0
0.183161,0.310068,0.406161,62830.2,3.71581e+06,0,0
0.183769,0.309517,0.41846,53460.2,3.15361e+06,0,0
0.420538,0.120247,0.272922,439.448,0,0,0
0.183569,0.309235,0.28361,55159.1,3.25555e+06,0,0
0.183724,0.307532,0.308231,72742.1,4.31053e+06,0,0
0.182606,0.307421,0.314711,76571,4.54026e+06,0,0
0.183545,0.310951,0.331186,84174.8,4.99649e+06,0,0
0.183007,0.310943,0.33343,84863.8,5.03783e+06,0,0
0.182348,0.310798,0.352524,87235.4,5.18012e+06,0,0
0.412127,0.296573,0.367277,932.505,1950.28,0,0
0.183622,0.3091,0.377072,80821.9,4.79532e+06,0,0
0.183513,0.308175,0.387524,75274.9,4.46249e+06,0,0
0.18284,0.309603,0.395947,70003.9,4.14624e+06,0,0
0.182243,0.310257,0.406515,62542.1,3.69853e+06,0,0
0.183518,0.309245,0.417565,54137.4,3.19424e+06,0,0
0.183637,0.309285,0.283342,54952.4,3.24315e+06,0,0
0.183401,0.309062,0.282085,53949.5,3.18297e+06,0,0
0.18251,0.309892,0.300663,67790.3,4.01342e+06,0,0
0.183382,0.308089,0.319839,79368.2,4.70809e+06,0,0
0.183555,0.309436,0.323667,81241.9,4.82051e+06,0,0
0.183673,0.311519,0.340956,86587.5,5.14125e+06,0,0
0.183676,0.31157,0.354797,87099.9,5.172e+06,0,0
0.183572,0.311488,0.359387,86498.7,5.13592e+06,0,0
0.183806,0.311019,0.36932,83944.9,4.98269e+06,0,0
0.18374,0.310009,0.390907,73280,4.3428e+06,0,0
0.182615,0.309904,0.400945,66570.4,3.94022e+06,0,0
0.182663,0.310518,0.406095,62864.8,3.71789e+06,0,0
0.183746,0.30935,0.417058,54541,3.21846e+06,0,0
0.183574,0.309197,0.280732,52917.6,3.12105e+06,0,0
0.181824,0.309822,0.288477,58868.8,3.47813e+06,0,0
0.183322,0.31036,0.308114,72760.4,4.31162e+06,0,0
0.1834,0.308033,0.315815,77254.6,4.58128e+06,0,0
0.183432,0.309359,0.325105,81865,4.8579e+06,0,0
0.183283,0.311325,0.34076,86555.4,5.13932e+06,0,0
0.18299,0.311185,0.352429,87260.2,5.18161e+06,0,0
0.412067,0.298199,0.361654,900.941,56.4661,0,0
0.183926,0.309828,0.375355,81606.7,4.8424e+06,0,0
0.18457,0.308605,0.386836,75696.5,4.48779e+06,0,0
0.183996,0.30806,0.394008,71246.2,4.22077e+06,0,0
0.183537,0.309188,0.416567,54921.3,3.24128e+06,0,0
0.471909,0.120575,0.428216,321.284,0,0,0
0.183587,0.309183,0.283809,55313,3.26478e+06,0,0
0.184007,0.309715,0.294059,63104.7,3.73228e+06,0,0
0.182438,0.309932,0.299457,66947.6,3.96285e+06,0,0
0.183966,0.307848,0.313933,76059.7,4.50958e+06,0,0
0.183573,0.310786,0.328846,83359.7,4.94758e+06,0,0
0.183041,0.311139,0.337884,86000.8,5.10605e+06,0,0
0.183677,0.311552,0.349738,87320.5,5.18523e+06,0,0
0.183719,0.311592,0.35637,86935.4,5.16213e+06,0,0
0.183775,0.309553,0.374215,82088.1,4.87129e+06,0,0
0.183824,0.308714,0.379904,79452,4.71312e+06,0,0
0.183212,0.309817,0.397872,68716.4,4.06898e+06,0,0
0.183349,0.310453,0.404507,64040.1,3.7884e+06,0,0
0.1837,0.309231,0.418054,53772.1,3.17233e+06,0,0
0.183397,0.309152,0.282178,54045.7,3.18874e+06,0,0
0.182368,0.310024,0.294155,63140.6,3.73444e+06,0,0
0.182725,0.309745,0.301042,68058.9,4.02954e+06,0,0
0.1835,0.307996,0.313497,75949.8,4.50299e+06,0,0
0.183634,0.311068,0.332162,84488.6,5.01532e+06,0,0
