x,y,z,rho,p,is_boundary,kind
0.177856,0.304653,0.285499,1249.89,20993.2,0,0
0.178432,0.30601,0.285797,1252.05,21122.9,0,0
0.178245,0.30647,0.286252,1255.07,21304.1,0,0
0.178443,0.306093,0.286985,1260.02,21601.2,0,0
0.177792,0.305832,0.30117,1335.26,26115.8,0,0
0.178028,0.306492,0.333316,1423.41,31404.5,0,0
0.178012,0.306512,0.366704,1423.37,31402,0,0
0.177795,0.305832,0.398826,1335.26,26115.7,0,0
0.178469,0.306134,0.41303,1259.91,21594.7,0,0
0.178239,0.306497,0.413747,1255.06,21303.7,0,0
0.178441,0.306012,0.414158,1252.35,21141.2,0,0
0.177605,0.30445,0.414532,1249.55,20972.9,0,0
0.176458,0.306125,0.285463,1249.36,20961.9,0,0
0.1782,0.306082,0.285664,1251.17,21070.1,0,0
0.17796,0.306083,0.286059,1253.91,21234.8,0,0
0.178742,0.305073,0.286968,1259.79,21587.5,0,0
0.177619,0.306498,0.299846,1329.26,25755.3,0,0
0.178234,0.305609,0.329213,1417.01,31020.7,0,0
0.178222,0.305646,0.37079,1417,31019.9,0,0
0.177622,0.306499,0.400149,1329.26,25755.8,0,0
0.178755,0.305073,0.413052,1259.65,21579.2,0,0
0.177921,0.306165,0.413959,1253.77,21226.2,0,0
0.178334,0.306118,0.414375,1250.86,21051.6,0,0
0.178369,0.306663,0.414589,1249.17,20950,0,0
0.17752,0.305047,0.285362,1249.05,20943.2,0,0
0.178165,0.30641,0.285397,1249.22,20953,0,0
0.178868,0.304902,0.286898,1259.22,21553.4,0,0
0.178164,0.305651,0.286767,1258.7,21521.9,0,0
0.177655,0.305236,0.297805,1320.3,25218,0,0
0.178239,0.305397,0.325885,1410.67,30640,0,0
0.178239,0.305397,0.3741,1410.68,30641,0,0
0.177542,0.305238,0.402214,1320.19,25211.3,0,0
0.178259,0.305751,0.413238,1258.64,21518.3,0,0
0.178858,0.304813,0.413086,1259.3,21558.1,0,0
0.178308,0.306453,0.414472,1250.09,21005.6,0,0
0.177556,0.3049,0.41464,1248.99,20939.3,0,0
0.177495,0.305928,0.285353,1249.04,20942.3,0,0
0.178223,0.306682,0.285489,1249.62,20977.5,0,0
0.178613,0.305459,0.286781,1258.66,21519.8,0,0
0.178419,0.304805,0.286092,1253.95,21236.9,0,0
0.176501,0.306152,0.296235,1312.37,24742.4,0,0
0.17759,0.305537,0.321314,1400.6,30035.9,0,0
0.177558,0.305527,0.378664,1400.63,30037.8,0,0
0.176533,0.306162,0.403768,1312.36,24741.7,0,0
0.178406,0.304848,0.413896,1254.05,21243,0,0
0.178621,0.305459,0.413205,1258.75,21525.3,0,0
0.178767,0.304783,0.414507,1249.68,20980.9,0,0
0.177295,0.305529,0.414564,1249.6,20975.8,0,0
0.177884,0.305815,0.28544,1249.68,20980.9,0,0
0.178559,0.305292,0.286996,1260.07,21604.4,0,0
0.178209,0.3064,0.286684,1258,21480,0,0
0.178409,0.306538,0.286205,1254.68,21280.9,0,0
0.17831,0.304882,0.295867,1310.85,24651.1,0,0
0.177304,0.304408,0.320973,1399.3,29957.8,0,0
0.177321,0.304412,0.379028,1399.28,29957,0,0
0.178352,0.304894,0.40413,1310.85,24650.8,0,0
0.178412,0.306511,0.413795,1254.69,21281.7,0,0
0.178259,0.306501,0.413294,1258.1,21485.8,0,0
0.178564,0.305298,0.414789,1247.93,20875.6,0,0
0.178011,0.305818,0.414578,1249.55,20972.9,0,0
0.178509,0.306148,0.285294,1248.49,20909.3,0,0
0.17796,0.306027,0.286977,1260.07,21604.4,0,0
0.178224,0.305922,0.286576,1257.4,21443.8,0,0
0.177685,0.305578,0.285316,1248.82,20929.1,0,0
0.178077,0.306479,0.29572,1310.12,24607.3,0,0
0.178151,0.306357,0.319761,1396.62,29797,0,0
0.178128,0.306349,0.380225,1396.65,29798.8,0,0
0.178078,0.306479,0.404271,1310.15,24609.3,0,0
0.177754,0.3056,0.414661,1248.98,20939,0,0
0.178143,0.305686,0.413398,1257.6,21455.8,0,0
0.178001,0.306037,0.413007,1260.16,21609.7,0,0
0.17847,0.306206,0.414632,1249.01,20940.4,0,0
0.178345,0.3067,0.285032,1246.48,20788.7,0,0
0.178297,0.304739,0.286983,1259.92,21595.2,0,0
0.178194,0.305157,0.286695,1258.17,21490,0,0
0.177438,0.306004,0.286946,1259.85,21590.7,0,0
0.177466,0.305579,0.295323,1308.31,24498.5,0,0
0.178145,0.305777,0.318256,1392.89,29573.2,0,0
0.178146,0.305817,0.38175,1392.85,29571.2,0,0
0.177469,0.30558,0.404677,1308.29,24497.6,0,0
0.17741,0.305825,0.413043,1259.93,21596,0,0
0.178295,0.305186,0.413318,1258.06,21483.8,0,0
0.178335,0.304829,0.413035,1259.83,21589.7,0,0
0.1773,0.304738,0.414996,1246.37,20782.1,0,0
0.178705,0.305538,0.285079,1246.79,20807.5,0,0
0.178138,0.305499,0.285368,1249.17,20950,0,0
0.177972,0.305445,0.286808,1258.99,21539.2,0,0
0.176835,0.306255,0.286254,1254.99,21299.3,0,0
0.177312,0.305458,0.295808,1310.69,24641.2,0,0
0.178035,0.306109,0.321537,1401.06,30063.9,0,0
0.178035,0.306108,0.378466,1401.04,30062.6,0,0
0.177328,0.305463,0.404196,1310.66,24639.6,0,0
0.176836,0.306255,0.413745,1254.98,21299,0,0
0.178056,0.305507,0.413172,1259.11,21546.5,0,0
0.178172,0.305507,0.414668,1248.9,20934.1,0,0
0.178817,0.305195,0.41495,1246.66,20799.8,0,0
0.178408,0.306534,0.28561,1250.6,21036,0,0
0.17788,0.306467,0.285471,1249.74,20984.7,0,0
0.178027,0.305788,0.286836,1259.17,21550.2,0,0
0.177718,0.306074,0.286417,1256.34,21380.4,0,0
0.17781,0.304576,0.296655,1314.62,24877.3,0,0
0.178344,0.305074,0.325097,1408.93,30536.1,0,0
0.178344,0.305113,0.374907,1408.93,30535.6,0,0
0.177813,0.304576,0.403337,1314.64,24878.5,0,0
0.177717,0.306073,0.413584,1256.33,21380,0,0
0.178048,0.3059,0.413174,1259.08,21544.8,0,0
