x,y,z,rho,p,is_boundary,kind
0.179346,0.320569,0.280604,53187.6,3.13725e+06,0,0
0.178883,0.321423,0.291338,61699.6,3.64798e+06,0,0
0.177096,0.321183,0.303024,70222.4,4.15934e+06,0,0
0.175965,0.3221,0.317081,78863.6,4.67781e+06,0,0
0.179265,0.324932,0.329131,84653.4,5.0252e+06,0,0
0.176406,0.325664,0.340264,87063.4,5.16981e+06,0,0
0.17826,0.32504,0.350978,88612.7,5.26276e+06,0,0
0.175828,0.324436,0.359641,87344.4,5.18667e+06,0,0
0.176018,0.323596,0.369507,84955.5,5.04333e+06,0,0
0.179474,0.323852,0.383384,79135.2,4.69411e+06,0,0
0.178281,0.32097,0.39489,72174,4.27644e+06,0,0
0.179624,0.32075,0.417401,55090.1,3.2514e+06,0,0
0.175432,0.318716,0.417871,54265,3.2019e+06,0,0
0.180708,0.321507,0.282256,54559,3.21954e+06,0,0
0.179387,0.320377,0.284667,56532.6,3.33796e+06,0,0
0.176612,0.321229,0.307038,72903.1,4.32019e+06,0,0
0.175534,0.321104,0.314076,77168.4,4.57610e+06,0,0
0.174783,0.323401,0.326946,83142,4.93452e+06,0,0
0.17708,0.324672,0.344295,88129.1,5.23375e+06,0,0
0.178338,0.325144,0.350386,88599.6,5.26198e+06,0,0
0.176991,0.325847,0.362756,86590.4,5.14142e+06,0,0
0.179356,0.324883,0.371945,84410.3,5.01062e+06,0,0
0.179035,0.322858,0.381191,80491.6,4.7755e+06,0,0
0.180635,0.322404,0.397287,70581.5,4.18089e+06,0,0
0.17954,0.320398,0.412413,59183.7,3.49702e+06,0,0
0.177567,0.320816,0.419299,53303.1,3.14419e+06,0,0
0.178403,0.321668,0.282338,54372.1,3.20833e+06,0,0
0.180307,0.320862,0.281709,54155.9,3.19536e+06,0,0
0.178843,0.322222,0.303233,70507.6,4.17646e+06,0,0
0.179873,0.324134,0.321087,81326.3,4.82558e+06,0,0
0.177769,0.324376,0.330761,85138.6,5.05432e+06,0,0
0.178588,0.325088,0.341792,87989.8,5.22539e+06,0,0
0.178591,0.325148,0.350306,88651.2,5.26507e+06,0,0
0.176196,0.324399,0.359279,87520.9,5.19725e+06,0,0
0.174458,0.324251,0.368823,84591.1,5.02146e+06,0,0
0.179715,0.32247,0.385486,78230.5,4.63983e+06,0,0
0.176123,0.319731,0.400497,67914.1,4.02085e+06,0,0
0.17757,0.320886,0.411743,59419,3.51114e+06,0,0
0.178382,0.32057,0.417404,54964.4,3.24386e+06,0,0
0.180132,0.320675,0.281175,53720.2,3.16921e+06,0,0
0.179177,0.321537,0.28962,60364.4,3.56787e+06,0,0
0.178271,0.321972,0.302039,69609.1,4.12255e+06,0,0
0.179442,0.322492,0.314425,77911.1,4.62067e+06,0,0
0.178542,0.323944,0.326297,83628.7,4.96372e+06,0,0
0.178103,0.324977,0.340638,87728.8,5.20973e+06,0,0
0.177281,0.3248,0.348472,88446.6,5.2528e+06,0,0
0.1779,0.324745,0.364277,86736.2,5.15017e+06,0,0
0.17924,0.32533,0.371128,84585.2,5.02111e+06,0,0
0.176372,0.322878,0.382567,79222,4.69932e+06,0,0
0.18023,0.322856,0.392726,73623.6,4.36342e+06,0,0
0.176875,0.320393,0.414433,57202.2,3.37813e+06,0,0
0.180627,0.322044,0.419423,53384,3.14904e+06,0,0
0.180121,0.320953,0.280168,52863.5,3.11781e+06,0,0
0.178124,0.32045,0.290293,60888.2,3.59929e+06,0,0
0.180026,0.322956,0.309592,74871.2,4.43827e+06,0,0
0.175772,0.322027,0.315207,77750.3,4.61102e+06,0,0
0.179467,0.325363,0.327541,83923.5,4.98141e+06,0,0
0.175837,0.324048,0.33834,86969.1,5.16415e+06,0,0
0.178876,0.325464,0.353101,88522.1,5.25732e+06,0,0
0.179175,0.325623,0.359923,87695.6,5.20773e+06,0,0
0.17866,0.325444,0.372969,83718.7,4.96912e+06,0,0
0.178625,0.322174,0.385329,78215.8,4.63895e+06,0,0
0.176626,0.320521,0.398982,69040.2,4.08841e+06,0,0
0.180554,0.321082,0.406802,63648.1,3.76489e+06,0,0
0.179654,0.320792,0.419452,53417.4,3.15105e+06,0,0
0.178576,0.321808,0.282715,54690.6,3.22744e+06,0,0
0.177618,0.319644,0.286211,57617.8,3.40307e+06,0,0
0.176692,0.32072,0.30898,74264.1,4.40185e+06,0,0
0.179444,0.322756,0.316741,79217.2,4.69903e+06,0,0
0.177725,0.324311,0.331401,85372.6,5.06835e+06,0,0
0.179212,0.325688,0.336138,86707.9,5.14848e+06,0,0
0.179019,0.326229,0.351783,88359.2,5.24755e+06,0,0
0.176104,0.324079,0.364876,86324.3,5.12546e+06,0,0
0.178983,0.324038,0.373951,83739.6,4.97038e+06,0,0
0.178232,0.322103,0.384986,78361.4,4.64768e+06,0,0
0.175658,0.319765,0.394786,71873.5,4.25841e+06,0,0
0.177191,0.319853,0.406889,63263.3,3.7418e+06,0,0
0.179495,0.320567,0.417562,54972.9,3.24437e+06,0,0
0.175513,0.318713,0.282431,54274.6,3.20248e+06,0,0
0.179721,0.320629,0.280889,53454.6,3.15328e+06,0,0
0.175804,0.319801,0.303416,70392.6,4.16955e+06,0,0
0.178205,0.322838,0.319749,80653.9,4.78524e+06,0,0
0.173845,0.322158,0.326913,83094.9,4.93169e+06,0,0
0.178061,0.324855,0.340709,87765.7,5.21194e+06,0,0
0.174118,0.323982,0.353384,87708.1,5.20849e+06,0,0
0.17857,0.326221,0.359571,87465,5.1939e+06,0,0
0.178768,0.325899,0.369398,84970.5,5.04423e+06,0,0
0.179732,0.322414,0.387259,77171.6,4.5763e+06,0,0
0.175717,0.319677,0.39767,69874.8,4.13849e+06,0,0
0.180088,0.321898,0.406709,63571,3.76026e+06,0,0
0.180813,0.322059,0.417493,54965.9,3.24395e+06,0,0
0.178464,0.320176,0.282693,54823.7,3.23542e+06,0,0
0.179543,0.320444,0.289338,60301.6,3.56409e+06,0,0
0.179882,0.321875,0.308475,74304.8,4.40429e+06,0,0
0.175912,0.322691,0.31733,78877.5,4.67865e+06,0,0
0.177997,0.323867,0.327479,84046.1,4.98876e+06,0,0
0.179197,0.326146,0.340634,87560.2,5.19961e+06,0,0
0.179158,0.326452,0.351776,88302,5.24412e+06,0,0
0.178363,0.32626,0.361081,87122.4,5.17334e+06,0,0
0.175696,0.32312,0.372795,83713.1,4.96879e+06,0,0
0.179819,0.322883,0.384574,78705,4.6683e+06,0,0
0.179083,0.322495,0.393701,72888.9,4.31933e+06,0,0
0.178827,0.320175,0.416263,56003.2,3.30619e+06,0,0
0.422127,0.240839,0.426421,128.74,0,0,0
0.178213,0.321102,0.28077,53148.9,3.13493e+06,0,0
0.180288,0.320704,0.293056,63276.3,3.74258e+06,0,0
0.175153,0.319172,0.302797,69856.6,4.1374e+06,0,0
0.179551,0.32276,0.316431,79054.3,4.68926e+06,0,0
0.173638,0.322638,0.329881,84105.2,4.99231e+06,0,0
0.178891,0.326249,0.339094,87177.7,5.17666e+06,0,0
0.175154,0.323935,0.350366,88125.6,5.23354e+06,0,0
0.178815,0.325464,0.357067,88138.3,5.2343e+06,0,0
0.179056,0.324272,0.372211,84415.1,5.0109e+06,0,0
0.179572,0.323515,0.379946,81095.4,4.81172e+06,0,0
0.18031,0.322522,0.395776,71599,4.24194e+06,0,0
0.180055,0.320937,0.40359,66087.1,3.91123e+06,0,0
0.179409,0.32038,0.418666,54079.5,3.19077e+06,0,0
0.179029,0.320368,0.281858,54199.2,3.19795e+06,0,0
0.177389,0.320766,0.293249,63050.6,3.72904e+06,0,0
0.180331,0.322413,0.303552,70883.8,4.19902e+06,0,0
0.176459,0.321663,0.316202,78536.6,4.6582e+06,0,0
0.177256,0.324381,0.332998,85782.1,5.09293e+06,0,0
0.177658,0.324259,0.337875,87251.5,5.18109e+06,0,0
0.177838,0.325015,0.349055,88524.9,5.2575e+06,0,0
0.179187,0.32573,0.363231,86950.5,5.16303e+06,0,0
0.17956,0.323999,0.375549,83127.4,4.93364e+06,0,0
0.175762,0.322196,0.379652,80736.7,4.7902e+06,0,0
0.179017,0.321557,0.39188,74251.3,4.40108e+06,0,0
0.179741,0.320669,0.419557,53353.7,3.14722e+06,0,0
0.178926,0.320729,0.41963,53200.6,3.13804e+06,0,0
0.176953,0.320681,0.280313,52642.8,3.10457e+06,0,0
0.179411,0.320231,0.291144,61734.7,3.65008e+06,0,0
0.180585,0.322282,0.306672,73099.6,4.33197e+06,0,0
0.178812,0.323734,0.316655,78866.5,4.67799e+06,0,0
0.179246,0.325901,0.332412,85532.2,5.07793e+06,0,0
0.179042,0.325524,0.337393,87048.8,5.16893e+06,0,0
0.176125,0.324641,0.350522,88223.2,5.23939e+06,0,0
0.178265,0.324886,0.3639,86866.7,5.158e+06,0,0
0.176823,0.323884,0.370133,84861.3,5.03768e+06,0,0
0.179459,0.322863,0.38067,80831.7,4.7959e+06,0,0
0.177005,0.321066,0.39894,69076.2,4.09057e+06,0,0
0.176877,0.319779,0.413605,57924.5,3.42147e+06,0,0
0.17836,0.320267,0.417261,55109.7,3.25258e+06,0,0
0.180976,0.321348,0.280285,52979.8,3.12478e+06,0,0
0.175722,0.318764,0.291056,61211.2,3.61867e+06,0,0
0.180486,0.32106,0.302093,70052.8,4.14917e+06,0,0
0.179347,0.32314,0.319189,80482.2,4.77493e+06,0,0
0.178792,0.324129,0.327967,84323.7,5.00542e+06,0,0
0.179609,0.326204,0.337821,87019,5.16714e+06,0,0
0.177113,0.324827,0.354182,88272.3,5.24234e+06,0,0
0.173218,0.323474,0.356575,87226.7,5.1796e+06,0,0
0.175626,0.322708,0.375521,82601,4.90206e+06,0,0
0.17994,0.322909,0.384496,78758.9,4.67153e+06,0,0
0.175687,0.320867,0.391231,74137.4,4.39424e+06,0,0
0.177382,0.319788,0.405806,64138.1,3.79429e+06,0,0
0.177926,0.320464,0.418727,53841.7,3.1765e+06,0,0
0.180483,0.320882,0.282463,54768,3.23208e+06,0,0
0.177102,0.320394,0.281938,54021.6,3.18729e+06,0,0
0.181006,0.322289,0.304446,71594.5,4.24167e+06,0,0
0.174704,0.321693,0.318735,79503,4.71618e+06,0,0
0.176617,0.323884,0.330074,84743.5,5.03061e+06,0,0
0.175326,0.325142,0.34135,87116.6,5.173e+06,0,0
0.178619,0.325323,0.345904,88421.9,5.25131e+06,0,0
0.179177,0.326113,0.359366,87633.7,5.20402e+06,0,0
0.175687,0.322869,0.373279,83557.3,4.95944e+06,0,0
0.176065,0.321669,0.384384,78317.9,4.64507e+06,0,0
0.179326,0.322161,0.397275,70483.3,4.175e+06,0,0
0.177207,0.320604,0.406836,63245.8,3.74075e+06,0,0
0.181043,0.321872,0.419827,53100.7,3.13204e+06,0,0
0.177363,0.320083,0.282435,54463,3.21378e+06,0,0
0.179788,0.321705,0.292691,62822.7,3.71536e+06,0,0
0.17516,0.319662,0.306366,72292.8,4.28357e+06,0,0
0.178083,0.322,0.315833,78605.5,4.66233e+06,0,0
0.177569,0.325034,0.328058,83886.3,4.97918e+06,0,0
0.177155,0.326011,0.341475,87349.9,5.187e+06,0,0
0.179491,0.326338,0.352186,88379.1,5.24875e+06,0,0
0.178673,0.32453,0.364363,86915.5,5.16093e+06,0,0
0.174725,0.323933,0.371146,83910.7,4.98064e+06,0,0
0.17735,0.322206,0.381068,80367.7,4.76806e+06,0,0
0.17617,0.320759,0.394301,72208.7,4.27852e+06,0,0
0.180643,0.3206,0.412852,58911.5,3.48069e+06,0,0
0.17714,0.321024,0.419966,52671.4,3.10628e+06,0,0
0.179914,0.320668,0.282295,54600.6,3.22204e+06,0,0
0.176682,0.319852,0.289089,59761.1,3.53167e+06,0,0
0.179582,0.322639,0.306524,72824.4,4.31547e+06,0,0
0.179305,0.32214,0.313837,77597,4.60182e+06,0,0
0.179557,0.323582,0.325952,83724,4.96944e+06,0,0
0.173112,0.323335,0.339257,86472.3,5.13434e+06,0,0
0.178713,0.326084,0.349497,88364.4,5.24786e+06,0,0
0.178357,0.324828,0.363222,87068.6,5.17012e+06,0,0
0.178059,0.324602,0.376117,82461.6,4.89369e+06,0,0
0.179316,0.322348,0.384059,79031.3,4.68788e+06,0,0
0.181124,0.321637,0.397285,70744,4.19064e+06,0,0
0.176308,0.319367,0.40956,61073.5,3.61041e+06,0,0
0.179801,0.322029,0.417948,54507.8,3.21647e+06,0,0
0.181386,0.320766,0.281186,53803.2,3.17419e+06,0,0
0.179528,0.31928,0.287297,58760,3.4716e+06,0,0
0.182323,0.320159,0.306975,73724.7,4.36948e+06,0,0
0.183199,0.320471,0.316536,79772.9,4.73237e+06,0,0
0.177133,0.320556,0.326935,84259.2,5.00155e+06,0,0
0.181225,0.322768,0.33589,87658.5,5.20551e+06,0,0
0.181974,0.324091,0.349329,89361.7,5.3077e+06,0,0
0.177427,0.322139,0.358764,88437.4,5.25225e+06,0,0
0.179287,0.322677,0.37626,83048.8,4.92893e+06,0,0
0.179278,0.323103,0.382537,79740.8,4.73045e+06,0,0
0.17801,0.318552,0.400774,68128.5,4.03371e+06,0,0
0.177921,0.318318,0.415562,56340,3.3264e+06,0,0
0.178053,0.318995,0.417364,55079.1,3.25075e+06,0,0
0.182673,0.320221,0.282458,54941.3,3.24248e+06,0,0
0.18202,0.320784,0.290416,61313,3.62478e+06,0,0
0.17911,0.318824,0.302425,70344.3,4.16666e+06,0,0
0.18173,0.321618,0.318019,80379.5,4.76877e+06,0,0
0.175369,0.32233,0.330926,85073.2,5.05039e+06,0,0
0.182755,0.322993,0.340544,88780,5.2728e+06,0,0
0.179581,0.325467,0.352785,88644.2,5.26465e+06,0,0
0.18022,0.322492,0.361354,88367.3,5.24804e+06,0,0
0.17975,0.323659,0.370209,85440.5,5.07243e+06,0,0
0.181991,0.322118,0.38576,78346.1,4.64676e+06,0,0
0.18248,0.320967,0.39511,72455.6,4.29333e+06,0,0
0.181953,0.319472,0.412796,59138.7,3.49432e+06,0,0
0.178303,0.320146,0.417792,54675.2,3.22651e+06,0,0
0.178644,0.318689,0.280058,52790.8,3.11345e+06,0,0
0.178913,0.31897,0.290333,61131.8,3.61391e+06,0,0
0.181147,0.320796,0.305086,72269.8,4.28219e+06,0,0
0.180276,0.322065,0.316498,79307.3,4.70444e+06,0,0
0.176784,0.322155,0.327791,84262.1,5.00173e+06,0,0
0.178267,0.323294,0.33852,87760,5.2116e+06,0,0
0.18173,0.323955,0.352653,89328.9,5.30574e+06,0,0
0.178436,0.323234,0.362306,87706.7,5.2084e+06,0,0
0.177338,0.321984,0.372718,84369.4,5.00817e+06,0,0
0.180824,0.321699,0.384909,78830.9,4.67585e+06,0,0
0.183282,0.320147,0.393506,73687.5,4.36725e+06,0,0
0.179312,0.319343,0.412133,59466.8,3.51401e+06,0,0
0.175896,0.319107,0.417268,54822,3.23532e+06,0,0
0.178336,0.320021,0.281632,53964.5,3.18387e+06,0,0
0.177517,0.318685,0.287633,58817.1,3.47503e+06,0,0
0.181755,0.320046,0.306138,73129.7,4.33378e+06,0,0
0.178255,0.319968,0.314366,78046.8,4.62881e+06,0,0
0.181377,0.323865,0.326812,84236.2,5.00017e+06,0,0
0.176088,0.322905,0.338263,87276.3,5.18258e+06,0,0
0.182025,0.324061,0.348844,89362.6,5.30776e+06,0,0
0.182044,0.323079,0.36393,87806.7,5.2144e+06,0,0
0.182858,0.321833,0.375944,83694.5,4.96767e+06,0,0
0.181359,0.321166,0.383346,79866,4.73796e+06,0,0
0.181667,0.319376,0.39569,72174.8,4.27648e+06,0,0
0.182184,0.32074,0.41523,57060.3,3.36962e+06,0,0
0.179847,0.320437,0.419163,53705.2,3.16832e+06,0,0
