x,y,z,rho,p,is_boundary,kind
0.482089,0.105697,0.275445,1073.98,10439,0,0
0.493339,0.106981,0.275236,992.215,5532.93,0,0
0.493737,0.105276,0.276483,993.28,5596.79,0,0
0.484564,0.105197,0.276424,1063.23,9793.94,0,0
0.482711,0.105115,0.276889,1075.81,10548.9,0,0
0.460856,0.106887,0.299706,1107.36,12441.7,0,0
0.479557,0.105357,0.394154,1091.92,11515.3,0,0
0.476073,0.105332,0.424597,1126.59,13595.2,0,0
0.487193,0.105259,0.423,1086.27,11176,0,0
0.491023,0.106588,0.423774,1067.25,10034.8,0,0
0.494169,0.105908,0.424138,1043.19,8591.46,0,0
0.470322,0.106323,0.424871,1127.44,13646.7,0,0
0.490556,0.105307,0.276193,1019.47,7168.1,0,0
0.494709,0.105203,0.27682,985.499,5129.96,0,0
0.493084,0.106463,0.276008,997.449,5846.95,0,0
0.491351,0.105381,0.276555,1014.22,6853.45,0,0
0.461539,0.106166,0.275263,1108.93,12536,0,0
0.477756,0.106374,0.306526,1069.38,10162.7,0,0
0.478614,0.105359,0.398384,1113.04,12782.7,0,0
0.482809,0.105205,0.424464,1108.99,12539.4,0,0
0.494945,0.10531,0.423287,1039.96,8397.89,0,0
0.49339,0.10543,0.423699,1050.71,9042.61,0,0
0.49319,0.105309,0.423737,1052.06,9123.55,0,0
0.466474,0.106365,0.424835,1122,13319.7,0,0
0.49457,0.106543,0.275072,980.625,4837.51,0,0
0.426373,0.106525,0.275659,844.286,0,0,0
0.443357,0.105229,0.275561,1016.74,7004.16,0,0
0.472491,0.105155,0.275242,1108.7,12521.8,0,0
0.472732,0.105231,0.283182,1130.3,13818.2,0,0
0.467261,0.106496,0.330936,976.921,4615.25,0,0
0.469534,0.105429,0.375777,1009.48,6568.77,0,0
0.468797,0.106764,0.423393,1131.33,13879.5,0,0
0.49062,0.105304,0.423219,1072.02,10321.3,0,0
0.43831,0.105347,0.423828,929.948,1796.9,0,0
0.438713,0.105347,0.423575,935.112,2106.7,0,0
0.468774,0.106407,0.423488,1131.1,13866,0,0
0.468641,0.105112,0.275615,1115.21,12912.3,0,0
0.43117,0.105269,0.275276,898.304,0,0,0
0.493672,0.105662,0.276295,993.282,5596.92,0,0
0.493019,0.105204,0.27636,999.224,5953.41,0,0
0.475118,0.105571,0.281633,1121.68,13300.7,0,0
0.476978,0.106751,0.322519,998.719,5923.16,0,0
0.478591,0.105407,0.385011,1048.3,8898.08,0,0
0.444898,0.105311,0.423682,997.826,5869.58,0,0
0.46871,0.10526,0.423837,1129.84,13790.5,0,0
0.466614,0.10526,0.423593,1127.09,13625.4,0,0
0.434944,0.106439,0.424384,889.92,0,0,0
0.489634,0.10526,0.42383,1076.3,10578.2,0,0
0.49048,0.106828,0.276587,1021.36,7281.51,0,0
0.421441,0.105439,0.276933,786.916,0,0,0
0.468396,0.106371,0.275338,1114.31,12858.5,0,0
0.493416,0.105118,0.276764,997.05,5823.01,0,0
0.480682,0.105069,0.276806,1086.2,11171.9,0,0
0.480189,0.105751,0.298848,1089.2,11351.9,0,0
0.485725,0.10533,0.399457,1091.01,11460.8,0,0
0.469973,0.105387,0.424889,1127.18,13630.7,0,0
0.493735,0.105343,0.423255,1049.57,8974.42,0,0
0.493551,0.105309,0.424936,1044.96,8697.77,0,0
0.493886,0.105428,0.424777,1043.03,8581.94,0,0
0.494771,0.106298,0.423806,1039.54,8372.43,0,0
0.484493,0.106535,0.275355,1059.65,9578.98,0,0
0.395332,0.106041,0.303157,416.811,0,0,0
0.439903,0.10523,0.275588,987.353,5241.2,0,0
0.479033,0.105069,0.275931,1090.61,11436.6,0,0
0.48166,0.105196,0.28046,1091.97,11518.2,0,0
0.464127,0.106545,0.33493,959.54,3572.41,0,0
0.476164,0.105384,0.393044,1093.59,11615.5,0,0
0.46001,0.106499,0.424903,1099.99,11999.5,0,0
0.494599,0.105374,0.423999,1040.31,8418.57,0,0
0.488138,0.106329,0.423883,1085.12,11107.5,0,0
0.449689,0.105339,0.424777,1035.74,8144.68,0,0
0.492811,0.106339,0.423634,1055.16,9309.65,0,0
0.48891,0.105306,0.276033,1031.8,7907.94,0,0
0.439667,0.106301,0.276277,987.545,5252.68,0,0
0.490888,0.105458,0.276918,1019.29,7157.61,0,0
0.485809,0.106456,0.276943,1057.09,9425.16,0,0
0.469196,0.105863,0.276304,1117.61,13056.5,0,0
0.466746,0.106659,0.30653,1087.17,11230.1,0,0
0.476705,0.106909,0.363895,961.264,3675.86,0,0
0.484508,0.105257,0.420066,1115.58,12934.8,0,0
0.484251,0.105259,0.423126,1107.84,12470.4,0,0
0.457709,0.105304,0.42372,1093.14,11588.5,0,0
0.494598,0.10531,0.42301,1043.63,8618,0,0
0.477651,0.105258,0.423135,1129.28,13756.7,0,0
0.493263,0.10698,0.276788,998.387,5903.2,0,0
0.429517,0.105152,0.275004,878.902,0,0,0
0.43241,0.105111,0.276155,914.527,871.641,0,0
0.392034,0.106548,0.303694,376.158,0,0,0
0.476314,0.105112,0.276662,1103.86,12231.4,0,0
0.467218,0.106603,0.302426,1105.41,12324.5,0,0
0.471958,0.105359,0.397576,1116.83,13009.8,0,0
0.482531,0.105257,0.423471,1113.77,12826.2,0,0
0.464237,0.105579,0.42495,1115.87,12951.9,0,0
0.468683,0.105302,0.424528,1127.18,13630.9,0,0
0.434925,0.105315,0.424061,890.737,0,0,0
0.471728,0.105521,0.424234,1130.71,13842.4,0,0
0.488923,0.105157,0.276401,1032.98,7978.84,0,0
0.485172,0.105574,0.276169,1058.54,9512.19,0,0
0.493662,0.106262,0.276736,994.843,5690.6,0,0
0.459436,0.105113,0.275735,1105.69,12341.5,0,0
0.468879,0.105614,0.2753,1113.9,12833.8,0,0
0.469849,0.106181,0.319074,1026.67,7600.23,0,0
0.474772,0.105329,0.398559,1119.97,13198.3,0,0
0.458916,0.106633,0.41964,1110.74,12644.2,0,0
0.447794,0.105341,0.424853,1019.84,7190.62,0,0
0.493323,0.105978,0.424881,1046.89,8813.21,0,0
0.493528,0.10531,0.424385,1047.21,8832.41,0,0
0.493366,0.105869,0.424725,1047.18,8830.61,0,0
0.480902,0.106414,0.275341,1079.67,10780.1,0,0
0.44794,0.105229,0.276096,1052.39,9143.66,0,0
0.438608,0.105111,0.276846,979.408,4764.48,0,0
0.458278,0.106534,0.276699,1105.85,12350.7,0,0
0.468689,0.106123,0.276463,1118.55,13112.8,0,0
0.469087,0.106579,0.307304,1083.61,11016.4,0,0
0.475651,0.105354,0.389149,1074.85,10490.9,0,0
0.477397,0.105298,0.41717,1144.48,14668.6,0,0
0.442436,0.105313,0.424469,971.414,4284.87,0,0
0.472798,0.106365,0.424799,1128.37,13702.3,0,0
0.462383,0.105305,0.424069,1113.05,12782.7,0,0
0.474658,0.105257,0.423741,1131.51,13890.4,0,0
0.458537,0.105781,0.276158,1104.79,12287.2,0,0
0.491888,0.106621,0.275509,1005.92,6354.96,0,0
0.486548,0.105416,0.276744,1051.43,9085.83,0,0
0.459299,0.105155,0.276588,1108.49,12509.3,0,0
0.464551,0.106166,0.27671,1118.83,13129.7,0,0
0.476799,0.106403,0.330453,969.318,4159.09,0,0
0.483336,0.106164,0.379629,1005.28,6316.53,0,0
0.478476,0.105332,0.423242,1127.12,13626.9,0,0
0.493217,0.105308,0.423192,1053.71,9222.46,0,0
0.494031,0.105733,0.423822,1045.39,8723.35,0,0
0.494638,0.10531,0.423287,1042.42,8545.03,0,0
0.493584,0.10531,0.423433,1050.13,9007.93,0,0
0.463733,0.105696,0.276328,1116.58,12994.8,0,0
0.462294,0.105155,0.275865,1112.61,12756.7,0,0
0.492211,0.106746,0.276376,1006.25,6375.28,0,0
0.493909,0.106262,0.276893,993.13,5587.79,0,0
0.454184,0.105156,0.276933,1090.62,11437.1,0,0
0.487557,0.106788,0.334619,906.83,409.805,0,0
0.471385,0.106673,0.369333,984.085,5045.09,0,0
0.441695,0.105347,0.423049,968.24,4094.41,0,0
0.4935,0.10531,0.423597,1050.21,9012.58,0,0
0.493294,0.10531,0.424166,1049.77,8985.95,0,0
0.453697,0.105337,0.424044,1067.79,10067.1,0,0
0.490198,0.105304,0.424169,1071.46,10287.6,0,0
0.47841,0.105696,0.27641,1095.18,11711,0,0
0.486392,0.105157,0.276485,1051.52,9091.46,0,0
0.465718,0.10625,0.276506,1118.89,13133.2,0,0
0.43051,0.10656,0.276498,894.592,0,0,0
0.481146,0.105114,0.275015,1077.05,10623.2,0,0
0.474554,0.106446,0.334518,962.422,3745.34,0,0
