x,y,z,rho,p,is_boundary,kind
0.239441,0.295762,0.285591,819.338,0,0,0
0.176648,0.295138,0.28682,1104.49,12269.2,0,0
0.20814,0.295581,0.286097,1129.71,13782.4,0,0
0.166497,0.295181,0.285723,1013.11,6786.33,0,0
0.170772,0.295836,0.290302,1072.37,10342.1,0,0
0.180876,0.295131,0.326836,1193.55,17613,0,0
0.180257,0.295265,0.373131,1190.21,17412.6,0,0
0.170276,0.295952,0.409733,1068.72,10123,0,0
0.168972,0.295104,0.413072,1043.41,8604.69,0,0
0.193682,0.295423,0.413509,1166.41,15984.8,0,0
0.175836,0.295231,0.413155,1099.73,11983.9,0,0
0.180868,0.296033,0.413805,1128.12,13687.2,0,0
0.202154,0.295789,0.286576,1156.06,15363.8,0,0
0.21314,0.295007,0.286655,1101.78,12106.8,0,0
0.22239,0.296915,0.286633,1023.74,7424.52,0,0
0.187414,0.296251,0.285251,1149.69,14981.1,0,0
0.167555,0.296917,0.286666,1027.74,7664.47,0,0
0.184317,0.296057,0.322675,1210.18,18610.6,0,0
0.183741,0.296138,0.377269,1207.94,18476.4,0,0
0.167158,0.296917,0.413377,1024.64,7478.59,0,0
0.184383,0.296247,0.414586,1140.6,14436.2,0,0
0.216618,0.297,0.414213,1071.44,10286.5,0,0
0.170437,0.295433,0.414572,1049.96,8997.58,0,0
0.207143,0.295351,0.414936,1129.46,13767.3,0,0
0.195439,0.296552,0.28575,1162.67,15760.4,0,0
0.172019,0.295674,0.285225,1061.74,9704.14,0,0
0.16697,0.296361,0.285684,1017.73,7063.75,0,0
0.166036,0.29699,0.286819,1013.23,6793.58,0,0
0.194898,0.29525,0.285443,1161.18,15670.6,0,0
0.184206,0.295042,0.318727,1207.72,18463.3,0,0
0.183359,0.295049,0.381262,1204.26,18255.6,0,0
0.190888,0.29535,0.414732,1157.7,15461.7,0,0
0.177313,0.297,0.414299,1104.34,12260.5,0,0
0.179817,0.295823,0.414128,1120.76,13245.4,0,0
0.168441,0.295752,0.414449,1032.34,7940.46,0,0
0.200331,0.296377,0.413783,1159.01,15540.3,0,0
0.239531,0.297,0.285328,817.151,0,0,0
0.166794,0.296016,0.286111,1017.96,7077.57,0,0
0.183503,0.296761,0.285199,1135.16,14109.4,0,0
0.221109,0.295753,0.286393,1035.33,8120.03,0,0
0.187848,0.296873,0.286373,1156.34,15380.6,0,0
0.173647,0.296512,0.312616,1135.74,14144.3,0,0
0.173198,0.296509,0.387499,1132.5,13949.8,0,0
0.188578,0.296872,0.413926,1157.17,15430,0,0
0.221492,0.296125,0.413465,1031.58,7894.68,0,0
0.183452,0.296678,0.414852,1135.26,14115.5,0,0
0.16571,0.296052,0.413912,1007.9,6474.25,0,0
0.18962,0.295059,0.414476,1156.7,15402.2,0,0
0.224018,0.295009,0.286232,1005.85,6351.15,0,0
0.184608,0.29672,0.285528,1141.43,14485.9,0,0
0.166068,0.295597,0.285028,1005.63,6337.86,0,0
0.184068,0.295625,0.286368,1143.49,14609.5,0,0
0.18866,0.296988,0.286788,1160.35,15621.2,0,0
0.19327,0.295433,0.314383,1226.78,19607.1,0,0
0.193179,0.295442,0.385456,1227.07,19624.2,0,0
0.183083,0.297,0.414638,1134.63,14077.9,0,0
0.166199,0.295477,0.413231,1015.83,6949.63,0,0
0.165654,0.295757,0.413187,1010.49,6629.35,0,0
0.165894,0.296696,0.414032,1009.15,6548.91,0,0
0.213622,0.296942,0.413321,1098.07,11884.3,0,0
0.165528,0.295223,0.285773,1003.5,6210.13,0,0
0.207462,0.295094,0.286836,1136.3,14178.3,0,0
0.212633,0.297,0.285512,1100.17,12009.9,0,0
0.234041,0.296621,0.285088,887.171,0,0,0
0.16869,0.296567,0.286803,1039.35,8360.78,0,0
0.194412,0.296991,0.312896,1225.62,19537,0,0
0.192881,0.296991,0.386928,1225.64,19538.3,0,0
0.168484,0.296607,0.413254,1038.09,8285.64,0,0
0.233847,0.296661,0.414968,888.364,0,0,0
0.169581,0.296914,0.413739,1046.04,8762.53,0,0
0.178541,0.295311,0.413633,1115.5,12929.8,0,0
0.170641,0.295189,0.414997,1049.63,8977.77,0,0
0.190823,0.295832,0.285617,1159.11,15546.8,0,0
0.219753,0.295752,0.28555,1044.38,8662.75,0,0
0.21618,0.296434,0.286289,1077.77,10666.5,0,0
0.22362,0.295094,0.285739,1007.99,6479.54,0,0
0.180548,0.295836,0.286939,1129.24,13754.7,0,0
0.190052,0.296667,0.311185,1220.61,19236.4,0,0
0.188948,0.296786,0.388817,1218.64,19118.2,0,0
0.179953,0.295501,0.413219,1125.83,13549.8,0,0
0.221017,0.295191,0.414449,1031.99,7919.15,0,0
0.200164,0.296592,0.414598,1155.34,15320.4,0,0
0.166551,0.29657,0.41451,1013.62,6817.13,0,0
0.1859,0.296551,0.41426,1147.82,14869.4,0,0
0.204111,0.296554,0.286528,1149.36,14961.9,0,0
0.215662,0.296687,0.286899,1084.31,11058.9,0,0
0.229803,0.296698,0.286261,942.483,2548.95,0,0
0.19701,0.29583,0.28626,1164.34,15860.2,0,0
0.187157,0.295751,0.285124,1148.29,14897.3,0,0
0.187367,0.296955,0.314249,1216.59,18995.5,0,0
0.186937,0.296929,0.385669,1215.69,18941.7,0,0
0.187057,0.295389,0.413087,1157.22,15433,0,0
0.188006,0.295947,0.413913,1155.98,15358.8,0,0
