x,y,z,rho,p,is_boundary,kind
0.176208,0.30251,0.286871,1259.3,21557.9,0,0
0.175103,0.303435,0.286939,1259.88,21592.9,0,0
0.174885,0.303873,0.285275,1248.44,20906.1,0,0
0.17502,0.303494,0.286693,1258.23,21493.8,0,0
0.176142,0.303525,0.301106,1334.54,26072.2,0,0
0.17609,0.30422,0.333128,1421.84,31310.3,0,0
0.176086,0.304237,0.366903,1421.78,31307,0,0
0.176141,0.303525,0.39889,1334.54,26072.5,0,0
0.175094,0.303545,0.413325,1258.12,21487.2,0,0
0.174875,0.303897,0.414723,1248.44,20906.4,0,0
0.175117,0.303437,0.413051,1259.95,21597.2,0,0
0.176005,0.302394,0.413116,1259.4,21563.8,0,0
0.175688,0.302146,0.286871,1259.26,21555.6,0,0
0.174667,0.303495,0.286845,1259.12,21547.3,0,0
0.17617,0.303856,0.285078,1247.05,20823.3,0,0
0.175199,0.302519,0.286625,1257.75,21465.1,0,0
0.176441,0.302299,0.29976,1328.5,25710.1,0,0
0.176319,0.303191,0.328973,1415.12,30907.1,0,0
0.17631,0.303229,0.371032,1415.1,30906.2,0,0
0.17644,0.302298,0.400236,1328.51,25710.5,0,0
0.1752,0.302477,0.413407,1257.52,21451.2,0,0
0.176141,0.303949,0.414906,1247.16,20829.4,0,0
0.174917,0.30356,0.413153,1259.21,21552.8,0,0
0.175184,0.304053,0.413146,1259.18,21551.1,0,0
0.175922,0.302994,0.286844,1259.27,21556.4,0,0
0.174655,0.303794,0.286792,1258.7,21522.2,0,0
0.175354,0.302347,0.286531,1257.08,21425.1,0,0
0.176264,0.30346,0.286253,1255.23,21314,0,0
0.175981,0.302945,0.297719,1319.65,25178.8,0,0
0.176364,0.302997,0.325632,1408.74,30524.6,0,0
0.176364,0.302996,0.374353,1408.76,30525.8,0,0
0.175856,0.302988,0.402302,1319.57,25174.1,0,0
0.174434,0.303109,0.413727,1255.23,21313.9,0,0
0.175278,0.302241,0.413457,1257.11,21426.6,0,0
0.174966,0.303868,0.413151,1259.17,21549.9,0,0
0.175954,0.302839,0.413154,1259.27,21556.1,0,0
0.175913,0.303796,0.286766,1258.67,21520.5,0,0
0.175302,0.30214,0.286857,1259.16,21549.5,0,0
0.17507,0.302849,0.286364,1256.06,21363.3,0,0
0.174552,0.30224,0.285043,1246.59,20795.4,0,0
0.17496,0.303999,0.296125,1311.88,24712.8,0,0
0.175894,0.303232,0.321055,1399.06,29943.8,0,0
0.175869,0.303225,0.378923,1399.11,29946.6,0,0
0.174983,0.304005,0.403876,1311.88,24712.6,0,0
0.174535,0.302275,0.414931,1246.78,20806.8,0,0
0.175084,0.302851,0.413626,1256.12,21367.5,0,0
0.175236,0.302169,0.413148,1259.12,21547.3,0,0
0.175742,0.303496,0.41316,1259.26,21555.4,0,0
0.176169,0.303645,0.286726,1258.39,21503.3,0,0
0.174948,0.302735,0.286657,1257.96,21477.7,0,0
0.174575,0.303747,0.286207,1254.77,21286.3,0,0
0.175325,0.304004,0.285249,1248.3,20897.8,0,0
0.174547,0.302082,0.295762,1309.82,24589.1,0,0
0.175572,0.30218,0.320729,1398.04,29882.6,0,0
0.175596,0.302186,0.379274,1398.03,29881.6,0,0
0.174606,0.302097,0.404236,1309.85,24591.2,0,0
0.175303,0.303972,0.414757,1248.27,20896.2,0,0
0.174752,0.303872,0.413767,1254.98,21299.1,0,0
0.174993,0.302783,0.413258,1258.54,21512.4,0,0
0.176221,0.303651,0.413283,1258.32,21499.4,0,0
0.175212,0.303571,0.286793,1258.91,21534.9,0,0
0.176182,0.303809,0.286577,1257.35,21441.1,0,0
0.174422,0.303273,0.286015,1253.47,21208.4,0,0
0.176061,0.303466,0.286711,1258.35,21500.8,0,0
0.174465,0.303728,0.295616,1309.26,24555.6,0,0
0.17445,0.303571,0.319493,1394.88,29692.7,0,0
0.174423,0.303564,0.380492,1394.89,29693.4,0,0
0.174464,0.303727,0.404376,1309.3,24557.7,0,0
0.176112,0.303477,0.413303,1258.24,21494.6,0,0
0.176258,0.303422,0.413963,1253.78,21227.1,0,0
0.176175,0.303806,0.41339,1257.36,21441.5,0,0
0.175153,0.30362,0.413191,1259.01,21540.4,0,0
0.175503,0.302193,0.286745,1258.45,21507.1,0,0
0.176431,0.302627,0.286536,1257.03,21421.6,0,0
0.176319,0.302994,0.286122,1254.34,21260.7,0,0
0.17589,0.303947,0.286458,1256.58,21394.8,0,0
0.1758,0.303335,0.295237,1307.72,24463,0,0
0.17443,0.302952,0.317994,1391.05,29463.1,0,0
0.174411,0.303024,0.382013,1391.02,29461,0,0
0.175799,0.303335,0.404765,1307.7,24462.1,0,0
0.175883,0.303794,0.4135,1256.92,21415.1,0,0
0.17635,0.303047,0.41389,1254.26,21255.4,0,0
0.176448,0.30268,0.413472,1256.98,21418.7,0,0
0.175839,0.302747,0.413326,1258.13,21488,0,0
0.17538,0.30303,0.286725,1258.52,21511.2,0,0
0.17629,0.303357,0.286705,1258.26,21495.7,0,0
0.176209,0.303311,0.286274,1255.41,21324.6,0,0
0.175974,0.302286,0.285397,1249.29,20957.2,0,0
0.175661,0.303231,0.295709,1310.08,24605,0,0
0.174286,0.303316,0.321278,1399.17,29950,0,0
0.174286,0.303315,0.378726,1399.15,29948.8,0,0
0.175673,0.303232,0.404296,1310.05,24603.2,0,0
0.175976,0.302286,0.414605,1249.27,20956.1,0,0
0.176237,0.303383,0.413674,1255.75,21344.8,0,0
0.174387,0.302881,0.413305,1258.01,21480.7,0,0
0.175416,0.302688,0.413282,1258.43,21505.9,0,0
0.175237,0.303986,0.286889,1259.44,21566.1,0,0
0.174215,0.303791,0.286774,1258.37,21502,0,0
0.176206,0.303619,0.286342,1255.82,21349.3,0,0
0.175959,0.303928,0.285678,1251.28,21076.5,0,0
0.176089,0.3023,0.296545,1313.91,24834.4,0,0
0.174507,0.302185,0.324826,1406.98,30418.6,0,0
0.174506,0.302185,0.375178,1406.95,30417.3,0,0
0.1761,0.302302,0.403448,1313.93,24835.6,0,0
0.17596,0.303928,0.414322,1251.28,21077.1,0,0
0.176201,0.303717,0.413668,1255.74,21344.4,0,0
0.174211,0.30381,0.413219,1258.41,21504.6,0,0
0.175842,0.30273,0.413119,1259.5,21569.8,0,0
0.175676,0.30377,0.286921,1259.73,21583.9,0,0
0.174313,0.303028,0.286875,1259.17,21550.5,0,0
0.174818,0.303807,0.286474,1256.64,21398.7,0,0
0.176029,0.304237,0.286237,1254.95,21297,0,0
0.174657,0.302295,0.298502,1322.92,25375,0,0
0.175758,0.303738,0.327732,1413.21,30792.5,0,0
0.175622,0.303705,0.372241,1413.27,30796.5,0,0
0.174729,0.302238,0.40149,1322.95,25376.7,0,0
0.176048,0.3042,0.413764,1254.96,21297.5,0,0
0.174771,0.303738,0.4135,1256.83,21409.7,0,0
0.174321,0.303032,0.413131,1259.14,21548.4,0,0
0.175778,0.303726,0.41305,1259.93,21595.5,0,0
0.175896,0.30408,0.28501,1246.55,20793.2,0,0
0.175047,0.30348,0.285005,1246.67,20800.4,0,0
0.175464,0.302172,0.285303,1248.63,20917.6,0,0
0.174582,0.30295,0.286941,1259.74,21584.4,0,0
0.175389,0.30258,0.299973,1329.73,25784,0,0
0.176163,0.303858,0.331736,1419.61,31176.8,0,0
0.176163,0.303858,0.368144,1419.79,31187.4,0,0
0.175404,0.302509,0.400036,1329.66,25779.7,0,0
0.174417,0.302727,0.413092,1259.41,21564.8,0,0
0.175506,0.302268,0.414623,1249.18,20950.9,0,0
0.174976,0.303463,0.414979,1246.77,20806.5,0,0
0.175907,0.304082,0.413,1246.43,20785.9,0,0
0.176137,0.303292,0.285188,1247.96,20877.4,0,0
0.175378,0.302749,0.286977,1260.15,21608.9,0,0
