x,y,z,rho,p,is_boundary,kind
0.144503,0.347256,0.285616,924.225,1453.52,0,0
0.143825,0.347466,0.285909,918.369,1102.12,0,0
0.14417,0.347376,0.288605,945.285,2717.13,0,0
0.143913,0.345624,0.3025,1050.51,9030.75,0,0
0.144465,0.347271,0.317713,1131.4,13884.2,0,0
0.143639,0.347134,0.337254,1184.15,17049,0,0
0.142933,0.347287,0.361539,1174.59,16475.7,0,0
0.143977,0.345771,0.380389,1141.59,14495.5,0,0
0.143713,0.345704,0.396612,1053.28,9196.57,0,0
0.143714,0.345441,0.4121,943.133,2587.98,0,0
0.143826,0.347397,0.413972,919.937,1196.24,0,0
0.144108,0.345332,0.414488,927.606,1656.38,0,0
0.144728,0.347167,0.285665,927.516,1650.96,0,0
0.143715,0.347509,0.286108,918.649,1118.96,0,0
0.143977,0.347452,0.28786,936.604,2196.24,0,0
0.143703,0.345574,0.303558,1054.64,9278.69,0,0
0.14195,0.346541,0.31757,1099.37,11962.2,0,0
0.14306,0.346204,0.338643,1183.42,17005.4,0,0
0.142668,0.347201,0.362565,1169.2,16151.9,0,0
0.143445,0.346991,0.380897,1125.1,13506,0,0
0.143758,0.345643,0.397226,1050.33,9020.01,0,0
0.143731,0.347502,0.411649,937.839,2270.34,0,0
0.143959,0.347438,0.413754,923.094,1385.64,0,0
0.144015,0.345368,0.414508,926.259,1575.53,0,0
0.14454,0.347242,0.285595,924.519,1471.15,0,0
0.143618,0.347171,0.286356,921.26,1275.59,0,0
0.143728,0.34684,0.28842,941.279,2476.72,0,0
0.14356,0.347574,0.301981,1032.97,7978.07,0,0
0.144099,0.346487,0.320556,1143.32,14599.2,0,0
0.143627,0.347225,0.340768,1189.22,17352.9,0,0
0.14331,0.347227,0.359602,1183.84,17030.5,0,0
0.144245,0.346333,0.382311,1133.81,14028.5,0,0
0.143392,0.345613,0.398045,1040.67,8439.99,0,0
0.144025,0.346739,0.411418,946.664,2799.84,0,0
0.143735,0.347178,0.413724,922.073,1324.39,0,0
0.144072,0.345346,0.414276,929.001,1740.08,0,0
0.144469,0.347258,0.285758,925.135,1508.1,0,0
0.143561,0.347502,0.28601,916.118,967.094,0,0
0.143756,0.347493,0.288668,940.542,2432.49,0,0
0.143313,0.345641,0.302757,1044.36,8661.8,0,0
0.143331,0.34659,0.320263,1130.57,13834.4,0,0
0.14169,0.347726,0.34039,1155.27,15316.2,0,0
0.144061,0.345321,0.360003,1206.05,18363.3,0,0
0.143399,0.346761,0.382309,1119.59,13175.4,0,0
0.143042,0.345791,0.39725,1040.28,8416.87,0,0
0.143961,0.347458,0.411632,940.796,2447.78,0,0
0.14338,0.347534,0.413939,914.597,875.801,0,0
0.143697,0.345447,0.414144,925.56,1533.57,0,0
0.144489,0.347262,0.285657,924.404,1464.22,0,0
0.143603,0.347485,0.285782,914.728,883.7,0,0
0.143641,0.347538,0.28789,932.642,1958.49,0,0
0.143317,0.347695,0.301267,1024.77,7485.92,0,0
0.142689,0.346541,0.318313,1113.3,12797.9,0,0
0.14273,0.347359,0.336916,1168.15,16089.1,0,0
0.142105,0.347564,0.362822,1157.67,15460.3,0,0
0.143968,0.346492,0.38172,1131.72,13903.4,0,0
0.14239,0.345955,0.397659,1028.52,7710.96,0,0
0.144116,0.34741,0.412328,936.956,2217.33,0,0
0.143895,0.347437,0.414142,919.064,1143.85,0,0
0.143807,0.345405,0.414395,924.772,1486.31,0,0
0.144746,0.34716,0.285552,926.757,1605.45,0,0
0.143543,0.34734,0.286069,917.192,1031.49,0,0
0.143303,0.347523,0.288085,930.464,1827.85,0,0
0.14327,0.345613,0.301236,1034.37,8062.13,0,0
0.14252,0.346284,0.320013,1119.47,13168.3,0,0
0.144271,0.347049,0.341215,1200.74,18044.7,0,0
0.141861,0.347662,0.361363,1155.77,15346,0,0
0.142642,0.346141,0.38277,1110.12,12607.3,0,0
0.143752,0.347554,0.398769,1030.88,7852.52,0,0
0.144107,0.3474,0.41199,939.763,2385.79,0,0
0.144412,0.345217,0.413649,938.73,2323.78,0,0
0.144526,0.347247,0.414254,925.873,1552.4,0,0
0.14394,0.345351,0.285706,927.136,1628.18,0,0
0.144508,0.345214,0.285859,935.304,2118.24,0,0
0.143441,0.347585,0.288238,932.994,1979.64,0,0
0.142455,0.346011,0.301885,1026.11,7566.47,0,0
0.143218,0.346473,0.317033,1115.54,12932.2,0,0
0.144334,0.347024,0.338644,1197.88,17873,0,0
0.14169,0.347731,0.358156,1157.14,15428.4,0,0
0.143404,0.346721,0.379933,1130.16,13809.7,0,0
0.143286,0.34647,0.398047,1035.19,8111.68,0,0
0.142876,0.345762,0.412428,929.465,1767.92,0,0
0.143504,0.347652,0.413802,916.551,993.04,0,0
0.143601,0.345526,0.414738,918.998,1139.86,0,0
0.144675,0.347129,0.285604,926.63,1597.83,0,0
0.143431,0.347514,0.286347,917.478,1048.69,0,0
0.143534,0.347513,0.287619,929.303,1758.18,0,0
0.142838,0.347795,0.302708,1027.03,7621.79,0,0
0.142802,0.34793,0.318753,1108.66,12519.5,0,0
0.14136,0.347309,0.33769,1148.41,14904.6,0,0
0.141385,0.347151,0.362394,1149.69,14981.1,0,0
0.143208,0.345879,0.382421,1121.16,13269.5,0,0
0.143235,0.347599,0.3987,1024.62,7477.28,0,0
0.143639,0.347471,0.412462,930.239,1814.37,0,0
0.143404,0.347353,0.414305,912.601,756.053,0,0
0.143924,0.34536,0.414416,926.079,1564.72,0,0
0.144595,0.34722,0.285473,924.153,1449.16,0,0
0.143608,0.347551,0.28601,916.415,984.899,0,0
0.144052,0.347422,0.287834,937.377,2242.63,0,0
0.14307,0.345776,0.302759,1040.6,8436.23,0,0
0.142621,0.346104,0.318745,1116.55,12992.7,0,0
0.141992,0.347561,0.340173,1160.81,15648.7,0,0
0.144447,0.34694,0.362547,1197.98,17879.1,0,0
0.142931,0.346316,0.379686,1126.63,13597.5,0,0
0.14299,0.347843,0.398015,1024.47,7468.46,0,0
0.143855,0.347479,0.411764,938.404,2304.24,0,0
0.1435,0.347525,0.414129,914.365,861.896,0,0
0.143861,0.345385,0.414645,923.282,1396.93,0,0
