x,y,z,rho,p,is_boundary,kind
0.184211,0.294548,0.285653,1251.55,21093.3,0,0
0.183769,0.294061,0.286224,1255.2,21312.3,0,0
0.183647,0.295082,0.286811,1259.13,21547.6,0,0
0.184853,0.293846,0.286593,1257.6,21456.1,0,0
0.184906,0.294023,0.297422,1316.85,25010.9,0,0
0.184807,0.294661,0.322081,1396.47,29788.1,0,0
0.184039,0.295429,0.373688,1404.8,30288.3,0,0
0.184666,0.295747,0.39843,1334.23,26053.7,0,0
0.184612,0.294258,0.413214,1258.88,21532.8,0,0
0.184412,0.294359,0.413701,1255.71,21342.9,0,0
0.183756,0.294017,0.413645,1255.9,21354.2,0,0
0.184534,0.294877,0.414399,1251.05,21063.3,0,0
0.184004,0.295292,0.285799,1252.47,21148.1,0,0
0.18358,0.294356,0.286524,1257.2,21432.1,0,0
0.184078,0.293799,0.286139,1254.6,21275.8,0,0
0.184522,0.294172,0.286966,1260.19,21611.7,0,0
0.183637,0.294891,0.296984,1314.91,24894.9,0,0
0.183676,0.294445,0.327,1406.18,30371,0,0
0.183737,0.295401,0.377037,1398.06,29883.4,0,0
0.183695,0.294707,0.399804,1328.79,25727.3,0,0
0.18457,0.294253,0.414794,1248.27,20896.2,0,0
0.183419,0.294608,0.413205,1258.8,21527.9,0,0
0.183338,0.295236,0.413424,1257.28,21437.1,0,0
0.184199,0.295206,0.414448,1250.67,21040.4,0,0
0.184281,0.294201,0.285595,1251.1,21065.8,0,0
0.185193,0.294896,0.286717,1258.52,21511,0,0
0.184368,0.295836,0.286765,1258.65,21519.1,0,0
0.185446,0.294897,0.285341,1249.18,20950.7,0,0
0.183474,0.295137,0.303844,1343.22,26592.9,0,0
0.185069,0.294994,0.336818,1420.35,31221,0,0
0.184468,0.295533,0.364791,1418.44,31106.3,0,0
0.183343,0.295217,0.402657,1316.2,24972.1,0,0
0.183949,0.294956,0.414678,1249.1,20945.7,0,0
0.18497,0.295176,0.41316,1259.18,21550.8,0,0
0.185462,0.294545,0.413377,1257.6,21456.2,0,0
0.184413,0.295095,0.414071,1253.26,21195.3,0,0
0.184264,0.294351,0.286034,1254.09,21245.6,0,0
0.184723,0.295733,0.286403,1256.36,21381.9,0,0
0.183654,0.294274,0.286963,1260.08,21604.9,0,0
0.183933,0.294865,0.286993,1260.4,21623.8,0,0
0.185171,0.295293,0.303125,1340.52,26431.4,0,0
0.184175,0.293646,0.334811,1417.83,31069.9,0,0
0.183494,0.29482,0.367598,1414.73,30884,0,0
0.184895,0.295759,0.402739,1315.82,24949.4,0,0
0.184368,0.293555,0.414874,1247.44,20846.5,0,0
0.18436,0.293645,0.413245,1258.46,21507.6,0,0
0.185468,0.294379,0.413497,1256.79,21407.3,0,0
0.184286,0.294556,0.413878,1254.56,21273.7,0,0
0.184212,0.294587,0.285817,1252.67,21159.9,0,0
0.184841,0.295533,0.286045,1254.04,21242.5,0,0
0.184954,0.295759,0.286221,1255.1,21306.1,0,0
0.185063,0.295585,0.286091,1254.28,21256.8,0,0
0.184961,0.294166,0.298395,1321.22,25273.4,0,0
0.184797,0.293843,0.321325,1394.56,29673.4,0,0
0.184032,0.294597,0.377834,1396.53,29791.7,0,0
0.184074,0.293853,0.401536,1321.28,25276.9,0,0
0.18316,0.295026,0.413686,1255.49,21329.5,0,0
0.183573,0.295322,0.414151,1252.52,21151.4,0,0
0.183962,0.294023,0.413927,1254.08,21244.6,0,0
0.184556,0.294122,0.414282,1251.75,21105.3,0,0
