x,y,z,rho,p,is_boundary
0.0843964,0.108041,0.779104,108.455,445.452,0
0.0925228,0.0963378,0.878614,96.5976,0,0
0.0859102,0.084643,0.983069,92.0489,0,0
0.104169,0.189978,0,122.286,1828.6,0
0.108004,0.188843,0.0885124,118.877,1487.73,0
0.0905678,0.189735,0.205094,108.664,466.352,0
0.0884351,0.18325,0.291202,119.758,1575.82,0
0.0994595,0.205442,0.38879,101.342,0,0
0.0890456,0.191359,0.500726,117.712,1371.19,0
0.0985845,0.1995,0.573407,112.348,834.8,0
0.0838441,0.191085,0.685222,100.364,0,0
0.090268,0.203537,0.793359,120.758,1675.83,0
0.102783,0.200672,0.876797,131.29,2728.99,0
0.101187,0.195932,0.964211,96.9789,0,0
0.10009,0.280026,0,108.414,441.423,0
0.109174,0.298125,0.0855416,107.904,390.353,0
0.106406,0.285912,0.190523,102.484,0,0
0.110777,0.293345,0.293356,103.304,0,0
0.09764,0.295447,0.39099,127.977,2397.74,0
0.0910683,0.292085,0.478663,103.841,0,0
0.106482,0.298884,0.598934,119.334,1533.41,0
0.0846316,0.282897,0.670162,126.563,2256.31,0
0.103706,0.282363,0.785309,118.368,1436.79,0
0.0964825,0.292176,0.87245,127.236,2323.55,0
0.0919576,0.296558,0.965212,95.5506,0,0
0.0915341,0.385765,0,98.4593,0,0
0.0881051,0.39781,0.097372,128.809,2480.88,0
0.105446,0.403123,0.181055,115.963,1196.3,0
0.0906207,0.400925,0.278427,110.18,618.05,0
0.0896787,0.384785,0.398047,111.058,705.782,0
0.0912994,0.387987,0.48367,113.852,985.212,0
0.106655,0.399254,0.586978,112.655,865.531,0
0.0843078,0.401635,0.67938,106.761,276.055,0
0.111141,0.382797,0.767271,97.6638,0,0
0.0870476,0.375898,0.867137,100.97,0,0
0.0874538,0.399261,0.987059,103.507,0,0
0.0842449,0.497733,0.00029738,110.837,683.654,0
0.0967973,0.480765,0.106713,129.043,2504.31,0
0.0982684,0.487351,0.19241,130.996,2699.61,0
0.091215,0.48133,0.27903,122.165,1816.47,0
0.110844,0.497144,0.381302,105.341,134.119,0
0.110588,0.474185,0.481299,111.474,747.373,0
0.0917372,0.47997,0.590797,110.857,685.693,0
0.0884278,0.497574,0.686543,135.399,3139.92,0
0.110395,0.490546,0.766767,107.086,308.63,0
0.106656,0.486741,0.876066,100.627,0,0
0.0942515,0.479764,0.986554,113.254,925.443,0
0.0989025,0.573225,0.00840241,120.063,1606.35,0
0.105682,0.572257,0.102438,116.844,1284.42,0
0.0853818,0.572141,0.190931,121.474,1747.42,0
0.104422,0.588133,0.293653,106.261,226.136,0
0.0955158,0.572842,0.396048,117.024,1302.4,0
0.105798,0.593368,0.480414,125.893,2189.25,0
0.0991559,0.589978,0.57612,109.039,503.932,0
0.0916315,0.56964,0.671167,107.334,333.362,0
0.092076,0.588912,0.790961,119.175,1517.52,0
0.111463,0.583502,0.875438,117.089,1308.94,0
0.0842905,0.574189,0.968589,99.2962,0,0
0.0894869,0.675695,0,108.688,468.823,0
0.101797,0.685149,0.111227,105.624,162.354,0
0.106496,0.678657,0.205432,97.9838,0,0
0.0945573,0.692681,0.306282,126.05,2204.96,0
0.101995,0.672969,0.3941,110.385,638.515,0
0.0888447,0.681807,0.49964,116.462,1246.2,0
0.100131,0.694244,0.579248,128.483,2448.31,0
0.110236,0.69471,0.689643,112.472,847.163,0
0.095384,0.676778,0.791672,104.276,27.6268,0
0.0831507,0.677005,0.884031,107.468,346.827,0
0.105392,0.671835,0.987138,91.2084,0,0
0.102816,0.766278,0.0101306,106.176,217.612,0
0.105924,0.780088,0.0997717,118.074,1407.42,0
0.0870646,0.788268,0.187636,120.214,1621.44,0
