x,y,z,rho,p,is_boundary,kind
0.113041,0.352136,0.286887,781.772,0,0,0
0.112305,0.352138,0.285141,758.66,0,0,0
0.112739,0.3521,0.295704,849.529,0,0,0
0.11323,0.352294,0.308739,944.596,2675.74,0,0
0.112865,0.351714,0.322837,1014.9,6894.16,0,0
0.11216,0.353065,0.339703,1051.21,9072.66,0,0
0.111571,0.353158,0.359496,1042.94,8576.31,0,0
0.113002,0.352257,0.375792,1020.94,7256.44,0,0
0.113069,0.352365,0.390583,946.183,2770.99,0,0
0.113011,0.352086,0.404953,847.666,0,0,0
0.112312,0.352076,0.414746,759.79,0,0,0
0.113356,0.352019,0.41321,784.577,0,0,0
0.11327,0.352047,0.28694,784.949,0,0,0
0.112187,0.352161,0.285326,758.928,0,0,0
0.11252,0.352143,0.295011,841.541,0,0,0
0.113087,0.352275,0.309579,947.836,2870.15,0,0
0.111389,0.352954,0.322757,989.269,5356.12,0,0
0.111823,0.352141,0.340601,1050.45,9027.27,0,0
0.111365,0.353021,0.360176,1039.1,8346.1,0,0
0.112078,0.351182,0.376127,1008.95,6537.19,0,0
0.113102,0.35231,0.391077,943.783,2626.96,0,0
0.112275,0.352182,0.404535,841.81,0,0,0
0.112428,0.352104,0.414526,762.896,0,0,0
0.113258,0.352038,0.41323,783.282,0,0,0
0.113063,0.352038,0.286873,782.111,0,0,0
0.112139,0.351752,0.285574,761.399,0,0,0
0.112359,0.35133,0.295533,845.399,0,0,0
0.112272,0.352092,0.308347,930.01,1800.63,0,0
0.112985,0.352841,0.324873,1021.72,7302.92,0,0
0.112107,0.353095,0.341977,1053.6,9216.06,0,0
0.111891,0.353138,0.358294,1049.66,8979.3,0,0
0.113179,0.352764,0.377166,1016.13,6967.91,0,0
0.112774,0.352087,0.391706,936.185,2171.12,0,0
0.112679,0.35132,0.40432,850.263,0,0,0
0.112246,0.351775,0.414492,761.897,0,0,0
0.113319,0.352028,0.41301,785.859,0,0,0
0.112995,0.352052,0.285005,765.142,0,0,0
0.112036,0.352141,0.285234,756.534,0,0,0
0.112304,0.352136,0.295764,844.666,0,0,0
0.112731,0.352297,0.30894,939.18,2350.81,0,0
0.112427,0.352916,0.324659,1012.43,6746.08,0,0
0.110727,0.35335,0.34174,1030.87,7852.41,0,0
0.112632,0.351546,0.358496,1066.14,9968.66,0,0
0.112496,0.352969,0.377142,1005.68,6340.88,0,0
0.112496,0.35243,0.391076,935.38,2122.83,0,0
0.112509,0.352184,0.404521,844.725,0,0,0
0.111842,0.352168,0.414731,754.594,0,0,0
0.112939,0.352101,0.414902,765.184,0,0,0
0.113018,0.352097,0.286934,782.006,0,0,0
0.112081,0.352132,0.285009,755.091,0,0,0
0.112177,0.35221,0.295038,837.476,0,0,0
0.112069,0.352379,0.307756,922.917,1375.02,0,0
0.111958,0.352929,0.323331,1000.1,6005.81,0,0
0.111495,0.353173,0.339458,1040.06,8403.88,0,0
0.110971,0.353302,0.360352,1031.66,7899.42,0,0
0.112929,0.352851,0.376741,1014.06,6843.34,0,0
0.111902,0.352498,0.391381,925.395,1523.7,0,0
0.11266,0.352155,0.405167,841.686,0,0,0
0.112381,0.352163,0.414906,758.962,0,0,0
0.113054,0.352078,0.413121,781.9,0,0,0
0.113271,0.351949,0.286839,784.299,0,0,0
0.112039,0.351932,0.285294,757.52,0,0,0
0.111839,0.352124,0.29522,834.984,0,0,0
0.112667,0.352116,0.307718,931.335,1880.13,0,0
0.111866,0.35268,0.324481,1004.23,6253.52,0,0
0.112553,0.352987,0.342236,1061.39,9683.63,0,0
0.110838,0.353303,0.359408,1031.08,7864.93,0,0
0.112019,0.352592,0.377515,998.323,5899.37,0,0
0.112433,0.352154,0.392293,927.884,1673.04,0,0
0.112641,0.35206,0.404851,844.105,0,0,0
0.113665,0.351862,0.414389,778.025,0,0,0
0.113037,0.352035,0.413002,782.796,0,0,0
0.113234,0.35219,0.286979,784.557,0,0,0
0.113799,0.352033,0.285127,774.906,0,0,0
0.111988,0.352295,0.295363,837.439,0,0,0
0.111975,0.35268,0.308269,923.953,1437.2,0,0
0.112379,0.352885,0.322333,1002.16,6129.57,0,0
0.112651,0.352987,0.340621,1060.47,9627.97,0,0
0.110627,0.35337,0.357278,1030.4,7823.76,0,0
0.112446,0.352948,0.375466,1011.95,6716.89,0,0
0.112572,0.352949,0.391707,931.065,1863.92,0,0
0.112172,0.352575,0.405265,834.082,0,0,0
