x,y,z,rho,p,is_boundary,kind
0.472619,0.106136,0.275352,1123.87,13431.9,0,0
0.493893,0.105383,0.276048,965.262,3915.7,0,0
0.490377,0.105718,0.27521,998.577,5914.59,0,0
0.474213,0.105639,0.276148,1120.52,13231.3,0,0
0.472994,0.105557,0.276787,1128.28,13696.6,0,0
0.458803,0.105243,0.301925,1141.94,14516.5,0,0
0.473234,0.106903,0.392976,1125.97,13558.4,0,0
0.471797,0.106801,0.419079,1169.86,16191.6,0,0
0.479513,0.106358,0.423177,1138.23,14293.7,0,0
0.482189,0.105563,0.424281,1121.97,13318.4,0,0
0.493467,0.106983,0.423231,1047.16,8829.67,0,0
0.467647,0.105315,0.423052,1158.23,15493.5,0,0
0.478515,0.105747,0.275451,1094.88,11692.7,0,0
0.487612,0.105647,0.275689,1026.67,7600.13,0,0
0.486238,0.106887,0.276753,1042.77,8565.99,0,0
0.479046,0.105821,0.275802,1093.09,11585.1,0,0
0.458717,0.106552,0.275141,1139.84,14390.1,0,0
0.469019,0.106789,0.308368,1112.2,12732,0,0
0.472838,0.107,0.397002,1143.71,14622.6,0,0
0.476566,0.106054,0.422658,1150.17,15010.5,0,0
0.487718,0.1061,0.424164,1089.51,11370.4,0,0
0.492743,0.10685,0.424913,1047.32,8839.42,0,0
0.494452,0.106574,0.423012,1039.11,8346.83,0,0
0.464858,0.105355,0.423129,1154.48,15268.8,0,0
0.489289,0.106926,0.275966,1011.95,6716.89,0,0
0.430804,0.106932,0.276273,962.828,3769.67,0,0
0.445826,0.105671,0.276555,1095.02,11701.5,0,0
0.466371,0.105598,0.275414,1141.02,14461,0,0
0.46642,0.105669,0.287022,1169.37,16162.3,0,0
0.463149,0.10512,0.33107,1023.73,7423.56,0,0
0.466469,0.107,0.376216,1053.37,9202.22,0,0
0.466561,0.105698,0.423609,1155.18,15311.1,0,0
0.481886,0.106359,0.423629,1126.05,13563.1,0,0
0.444003,0.106743,0.42328,1035.19,8111.3,0,0
0.444323,0.106961,0.423091,1038.74,8324.19,0,0
0.466557,0.105397,0.423709,1154.72,15283.3,0,0
0.463668,0.105556,0.275735,1145.04,14702.2,0,0
0.435461,0.105715,0.275941,1009.6,6576.08,0,0
0.49427,0.106108,0.277,957.249,3434.93,0,0
0.481663,0.105642,0.275369,1073.72,10423.5,0,0
0.467974,0.106009,0.285774,1165.65,15939.2,0,0
0.469256,0.105216,0.322792,1049.17,8950.34,0,0
0.472377,0.106609,0.38432,1086.89,11213.3,0,0
0.449155,0.106062,0.423115,1079.49,10769.3,0,0
0.466526,0.106139,0.424079,1153.28,15196.9,0,0
0.464907,0.106138,0.423894,1151.68,15100.9,0,0
0.440957,0.105405,0.423896,1003.42,6204.93,0,0
0.481137,0.106054,0.424178,1127.45,13646.9,0,0
0.478493,0.105195,0.275911,1096.82,11809,0,0
0.425726,0.105878,0.275525,902.234,134.026,0,0
0.463462,0.106796,0.275464,1143.84,14630.4,0,0
0.488238,0.105564,0.275608,1020.6,7236.29,0,0
0.471813,0.105512,0.27683,1132.95,13977.3,0,0
0.47049,0.10618,0.301075,1137.12,14227.5,0,0
0.476865,0.106896,0.398099,1138.64,14318.4,0,0
0.467436,0.107,0.423072,1157.87,15472,0,0
0.493003,0.106697,0.424269,1047.57,8854.06,0,0
0.494816,0.106655,0.423776,1033.12,7987.46,0,0
0.493215,0.106851,0.423637,1048.01,8880.7,0,0
0.484266,0.105352,0.424595,1109.56,12573.7,0,0
0.474138,0.10695,0.275047,1115.98,12958.8,0,0
0.399476,0.105027,0.31125,493.525,0,0,0
0.443112,0.105673,0.276455,1076.24,10574.6,0,0
0.470735,0.105512,0.275997,1133.26,13995.5,0,0
0.471929,0.105634,0.284751,1152.96,15177.8,0,0
0.46078,0.105087,0.335001,1009.31,6558.32,0,0
0.471251,0.107,0.391875,1123.66,13419.5,0,0
0.460212,0.105564,0.423506,1140.53,14432,0,0
0.493834,0.106736,0.423169,1044.16,8649.79,0,0
0.480135,0.105436,0.424145,1131.89,13913.3,0,0
0.452751,0.106983,0.423897,1101.57,12094.3,0,0
0.483348,0.105394,0.424277,1115.96,12957.4,0,0
0.477318,0.10571,0.275365,1101.5,12090,0,0
0.44297,0.106725,0.275046,1069.51,10170.7,0,0
0.478745,0.105898,0.276251,1096.78,11806.6,0,0
0.475059,0.106878,0.276623,1118.33,13099.7,0,0
0.464024,0.106256,0.276421,1147.74,14864.2,0,0
0.462646,0.107,0.308258,1119.3,13158.2,0,0
0.47083,0.105273,0.364133,1009.88,6592.94,0,0
0.477376,0.106094,0.416085,1163.85,15831.1,0,0
0.477574,0.106096,0.423163,1145.27,14716.4,0,0
0.458497,0.106603,0.424622,1129.27,13756.1,0,0
0.493866,0.106069,0.423859,1041.57,8494.11,0,0
0.473035,0.106135,0.423178,1155.82,15349.4,0,0
0.480516,0.10538,0.275962,1084.1,11045.9,0,0
0.433942,0.105602,0.275645,993.565,5613.88,0,0
0.436617,0.105559,0.276787,1023.54,7412.3,0,0
0.396165,0.106521,0.31177,447.155,0,0,0
0.468856,0.105555,0.276805,1141.86,14511.5,0,0
0.46291,0.106985,0.304422,1135.66,14139.4,0,0
0.4689,0.105111,0.396062,1142.94,14576.1,0,0
0.476368,0.106134,0.423472,1147.7,14862.2,0,0
0.463173,0.105104,0.423339,1150.01,15000.6,0,0
0.466541,0.106682,0.424781,1150.25,15014.9,0,0
0.440948,0.106072,0.423589,1004.5,6269.83,0,0
0.468661,0.105067,0.424391,1153.3,15197.8,0,0
0.477336,0.105599,0.275784,1103.16,12189.6,0,0
0.474631,0.106015,0.275824,1117.29,13037.1,0,0
