x,y,z,rho,p,is_boundary,kind
0.25435,0.296314,0.285328,629.781,0,0,0
0.165888,0.295755,0.285097,946.467,2788.02,0,0
0.219075,0.295761,0.286697,1003.04,6182.23,0,0
0.165875,0.295797,0.286609,952.446,3146.78,0,0
0.165311,0.296416,0.285594,943.331,2599.83,0,0
0.17097,0.295053,0.323406,1032.17,7930.31,0,0
0.169968,0.295291,0.376503,1024.74,7484.59,0,0
0.166551,0.296539,0.414351,955.735,3344.1,0,0
0.166959,0.295718,0.414071,960.476,3628.58,0,0
0.192784,0.295968,0.414359,1087.63,11257.7,0,0
0.16629,0.295845,0.414728,951.964,3117.85,0,0
0.172292,0.296616,0.41391,1003.55,6212.85,0,0
0.208591,0.296377,0.286335,1063.03,9781.9,0,0
0.225377,0.295636,0.285816,949.025,2941.48,0,0
0.236784,0.295409,0.286256,836.658,0,0,0
0.182427,0.296825,0.286562,1063.57,9813.91,0,0
0.165101,0.295412,0.285547,941.235,2474.12,0,0
0.176753,0.296659,0.320024,1074.4,10463.8,0,0
0.176241,0.295783,0.37973,1071.93,10316.1,0,0
0.166606,0.295416,0.414495,955.647,3338.83,0,0
0.177751,0.296824,0.413128,1042.22,8533.38,0,0
0.229832,0.295625,0.414814,904.596,275.742,0,0
0.165061,0.296005,0.413619,945.459,2727.53,0,0
0.217461,0.295938,0.414296,1010.54,6632.26,0,0
0.19572,0.295018,0.286969,1093.72,11623.1,0,0
0.165616,0.296252,0.28608,948.047,2882.81,0,0
0.166403,0.2969,0.286586,956.864,3411.86,0,0
0.165407,0.295543,0.285754,944.865,2691.88,0,0
0.194804,0.295718,0.286662,1092.59,11555.1,0,0
0.175966,0.295666,0.315681,1070.35,10220.8,0,0
0.174566,0.295849,0.384431,1061.9,9713.83,0,0
0.188688,0.295966,0.413552,1084.6,11076.2,0,0
0.167355,0.295633,0.413985,964.214,3852.84,0,0
0.170878,0.296173,0.414121,992.206,5532.33,0,0
0.166306,0.296009,0.413541,956.899,3413.95,0,0
0.205195,0.29694,0.414231,1073.33,10399.5,0,0
0.254441,0.295587,0.285078,628.237,0,0,0
0.166222,0.296623,0.286893,956.516,3390.93,0,0
0.176233,0.295236,0.286781,1031.89,7913.34,0,0
0.235379,0.296315,0.285972,851.113,0,0,0
0.183217,0.295368,0.285614,1062.96,9777.3,0,0
0.166022,0.29699,0.308003,991.344,5480.63,0,0
0.16543,0.29699,0.392162,986.847,5210.81,0,0
0.184589,0.295371,0.414777,1067.26,10035.5,0,0
0.235766,0.296702,0.413859,846.153,0,0,0
0.176201,0.295149,0.413223,1032.65,7958.91,0,0
0.165026,0.296662,0.413141,946.861,2811.68,0,0
